command_voltage_mV,peak_inward_current_nA,peak_outward_current_nA,steady_current_nA
-90.000000,-10.128116,-0.107302,-0.107504
-80.000000,-6.076870,-0.077620,-0.077750
-70.000000,-2.025623,-0.025451,-0.037768
-60.000000,-0.002497,2.025623,0.062892
-50.000000,-0.610493,6.076870,0.318793
-40.000000,-3.660140,10.128116,1.528539
-30.000000,-8.046261,14.179362,4.666505
-20.000000,-11.213367,18.230609,9.009993
-10.000000,-12.756522,22.281855,13.783596
0.000000,-12.695525,26.333102,18.598241
10.000000,-11.214853,30.384348,23.316065
20.000000,-8.636157,34.435594,27.908031
